file 1	file 2	# same commits	# commits file 1	# commits file 2
frontend/src/components/shared/hooks/useUrlTabs.js	frontend/src/components/recipe/Recipe.jsx	1	1	5
frontend/src/components/recipe/SavedRecipe.jsx	frontend/src/components/recipe/RecipeForm.jsx	1	4	1
frontend/src/components/recipe/SavedRecipeDetails.jsx	frontend/src/components/shared/Recipe.css	1	8	3
frontend/src/components/shared/hooks/usePrefillAuthors.js	frontend/src/components/mealPlan/SavedPlanDetails.jsx	1	2	5
frontend/src/components/recipe/RecipeForm.jsx	frontend/src/components/recipe/CreateRecipe.jsx	1	1	8
frontend/src/components/shared/recipe/IngredientRow.jsx	frontend/src/components/recipe/SavedRecipeDetails.jsx	1	1	8
frontend/src/components/shared/hooks/useCartPrefill.js	frontend/src/components/shared/hooks/useCartFoods.js	1	1	1
frontend/src/components/shared/CalculatorsBase.css	frontend/src/components/catalogue/Catalogue.css	1	1	6
frontend/src/components/shared/mealPlan/mapUtils.js	frontend/src/components/shared/mealPlan/MealPlanEditor.jsx	1	1	1
frontend/src/components/shared/recipe/IngredientRow.jsx	frontend/src/components/shared/recipe/utils.js	1	1	2
frontend/src/components/shared/Tabs.css	frontend/src/components/recipe/Recipe.jsx	1	1	5
frontend/src/components/payement/PayementSuccess.css	frontend/src/components/catalogue/Catalogue.css	1	6	6
frontend/src/components/shared/hooks/useCartPrefill.js	frontend/src/components/mealPlan/DailyPlan.jsx	1	1	7
frontend/src/components/shared/recipe/InstructionRow.jsx	frontend/src/components/shared/recipe/utils.js	1	1	2
frontend/src/components/shared/hooks/useUrlTabs.js	frontend/src/components/mealPlan/MealPlans.jsx	1	1	3
frontend/src/components/shared/buttons.css	frontend/src/components/mealPlan/SavedPlans.css	1	2	2
frontend/src/components/shared/recipe/InstructionRow.jsx	frontend/src/components/recipe/SavedRecipeDetails.jsx	1	1	8
frontend/src/components/shared/CatalogueBase.css	frontend/src/components/shared/CalculatorsBase.css	1	1	1
frontend/src/components/shared/status.css	frontend/src/components/calculators/NutritionCalculator.css	1	1	4
frontend/src/components/mealPlan/SavedPlanDetails.jsx	frontend/src/components/shared/MealPlan.css	1	5	3
frontend/src/components/shared/hooks/usePrefillAuthors.js	frontend/src/components/recipe/CreateRecipe.jsx	1	2	8
frontend/src/components/shared/Tabs.css	frontend/src/components/mealPlan/MealPlans.jsx	1	1	3
frontend/src/components/recipe/CreateRecipe.jsx	frontend/src/components/shared/Recipe.css	1	8	3
frontend/src/components/shared/CalculatorsBase.css	frontend/src/components/calculators/CaloriesCalculator.css	1	1	2
frontend/src/components/shared/hooks/useCartFoods.js	frontend/src/components/shared/hooks/usePrefillAuthors.js	1	1	2
frontend/src/components/shared/recipe/InstructionRow.jsx	frontend/src/components/recipe/CreateRecipe.jsx	1	1	8
frontend/src/components/recipe/SavedRecipe.jsx	frontend/src/components/shared/Recipe.css	1	4	3
frontend/src/components/signupForm/signupForm.jsx	frontend/src/components/loginForm/loginForm.jsx	1	8	7
frontend/src/components/calculators/NutritionCalculator.jsx	frontend/src/components/calculators/NutrientSection.jsx	1	4	1
frontend/src/components/shared/recipe/IngredientRow.jsx	frontend/src/components/recipe/CreateRecipe.jsx	1	1	8
frontend/src/components/mealPlan/SavedPlanDetails.jsx	frontend/src/components/recipe/CreateRecipe.jsx	1	5	8
frontend/src/components/mealPlan/DailyPlan.jsx	frontend/src/components/shared/MealPlan.css	1	7	3
